"Sample ID","Original Depth (m)","AP_comp Depth (cm)","Age (kyr)","Sedimentation Rate (cm/kyr)","Dry Bulk Density (g/cm3)","C. wuellerstorfi d18O (‰ vs. PDB)","C. wuellerstorfi d18O (‰ vs. PDB) + 0.64‰","C. wuellerstorfi d13C (‰ vs. PDB)","IRD Concentration (grains/g)","IRD Apparent MAR (grains/cm2/kyr)"
"MD02-2588-103.5",1.035,103.5,38.53,1.289,0.7285,4.03,4.67,0.28,12.08,11.3485350878143
"MD02-2588-104.5",1.045,104.5,39.31,1.283,0.7287,4.06,4.7,0.23,3.24,3.02883634599103
"MD02-2588-105.5",1.055,105.5,40,1.442,0.7289,3.98,4.62,0.27,10.1,10.6148537624369
"MD02-2588-106.5",1.065,106.5,40.52,1.919,0.729,4.08,4.72,0.2,11.48,16.0633235107485
"MD02-2588-107.5",1.075,107.5,40.95,2.339,0.7292,3.95,4.59,0.26,13.18,22.4803263362576
"MD02-2588-108.5",1.085,108.5,41.37,2.404,0.7293,4.11,4.75,0.3,21.27,37.2897526977761
"MD02-2588-109.5",1.095,109.5,41.77,2.451,0.7295,4.03,4.67,0.37,32.76,58.5721333389704
"MD02-2588-110.5",1.105,110.5,42.18,2.481,0.7296,4.1,4.74,0.43,,
"MD02-2588-111.5",1.115,111.5,42.58,2.506,0.7298,4.06,4.7,0.49,33.21,60.7417169531954
"MD02-2588-112.5",1.125,112.5,42.97,2.525,0.7299,4.05,4.69,0.28,31.03,57.1965029592812
"MD02-2588-113.5",1.135,113.5,43.37,2.538,0.7301,3.91,4.55,0.41,18.14,33.613651699365
"MD02-2588-114.5",1.145,114.5,43.76,2.551,0.7302,3.96,4.6,0.29,13.46,25.0740980894135
"MD02-2588-115.5",1.155,115.5,44.15,2.548,0.7304,4.12,4.76,0.22,6.25,11.6304982882164
"MD02-2588-116.5",1.165,116.5,44.55,2.538,0.7305,3.96,4.6,0.37,8.74,16.205586715863
"MD02-2588-117.5",1.175,117.5,44.94,2.525,0.7307,3.98,4.62,0.47,10.46,19.3009006281565
"MD02-2588-118.5",1.185,118.5,45.34,2.522,0.7309,4.01,4.65,0.42,5.29,9.7509073390291
"MD02-2588-119.5",1.195,119.5,45.73,2.522,0.731,3.99,4.63,0.39,,
"MD02-2588-120.5",1.205,120.5,46.13,2.516,0.7312,4,4.64,0.41,7.83,14.402568825849
"MD02-2588-121.5",1.215,121.5,46.53,2.516,0.7313,3.94,4.58,0.36,6.28,11.553914495849
"MD02-2588-122.5",1.225,122.5,46.93,2.519,0.7315,3.96,4.6,0.38,7.54,13.8924464389169
"MD02-2588-123.5",1.235,123.5,47.32,2.516,0.7316,3.9,4.54,0.29,3.48,6.40517797509433
"MD02-2588-124.5",1.245,124.5,47.72,2.509,0.7318,3.9,4.54,0.36,0.43,0.789624044604771
"MD02-2588-125.5",1.255,125.5,48.12,2.525,0.7319,3.85,4.49,0.06,0,0
"MD02-2588-126.5",1.265,126.5,48.51,2.525,0.7321,3.97,4.61,0.35,1.04,1.92265123686868
"MD02-2588-127.5",1.275,127.5,48.91,2.513,0.7322,3.99,4.63,0.24,1.26,2.3181461400754
